id,descripcion,tipo,clasificacion,tipo_red,jurisdiccion,geojson,geom
18077354,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7093685808235,-34.732246763476]}",0101000020E610000031B9F396CC5A4DC097DD0E43BA5D41C0
18077355,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7086663423457,-34.7316483029431]}",0101000020E61000004E132694B55A4DC03DA8CEA6A65D41C0
18077356,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7079965325284,-34.7310774670502]}",0101000020E61000000E7260A19F5A4DC058E949F2935D41C0
18077357,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7073166084705,-34.7304979998056]}",0101000020E610000039A6C259895A4DC0B47A5DF5805D41C0
18077358,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7066154300213,-34.7299004061586]}",0101000020E61000003365D95F725A4DC0E4E462606D5D41C0
18077359,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7059140996252,-34.7293026705375]}",0101000020E610000071D6A9645B5A4DC0086C37CA595D41C0
18077360,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7051656365937,-34.72866475059]}",0101000020E610000072B719DE425A4DC01FC4F4E2445D41C0
18077361,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7044643687885,-34.7280670425339]}",0101000020E61000006D9270E32B5A4DC0447D044D315D41C0
18077362,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7037809633917,-34.7274845470541]}",0101000020E610000046A89E7E155A4DC0ACF8B0361E5D41C0
18077363,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7030910737352,-34.7268965127528]}",0101000020E6100000B3E667E3FE594DC0C6ECE6F10A5D41C0
18077364,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MERLO                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.7023835418386,-34.7262934283829]}",0101000020E610000008B932B4E7594DC02B1ADD2EF75C41C0
27357039,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.820736051555,-34.4549423635417]}",0101000020E6100000D40902E10D694DC0FC7C268D3B3A41C0
27357040,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,PILAR                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.8205591481126,-34.4566920105541]}",0101000020E6100000E9C9081508694DC056D640E2743A41C0
27357042,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,PILAR                                                                                                                                        ,"{""type"":""Point"",""coordinates"":[-58.8175355239229,-34.4619893712127]}",0101000020E610000090480901A5684DC09E3ABC77223B41C0
27357043,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.8020142430691,-34.4878760743172]}",0101000020E61000003B741867A8664DC0B8D823B9723E41C0
27357044,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.8006763485888,-34.4907204578222]}",0101000020E610000051EF05907C664DC084E98EEDCF3E41C0
27357045,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7982078989805,-34.495979796886]}",0101000020E6100000DBC32AAD2B664DC00E8D17447C3F41C0
27357046,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7973979657271,-34.4975622530928]}",0101000020E6100000F158F42211664DC0F560B21EB03F41C0
27357048,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7942035884361,-34.5054592842098]}",0101000020E610000075599376A8654DC00892CBE3B24041C0
27358582,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7746287998372,-34.5321548482151]}",0101000020E61000009BEB580927634DC0ECBE6AA61D4441C0
27358583,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7725357844377,-34.534505753142]}",0101000020E61000002593DC73E2624DC06BA23CAF6A4441C0
27358584,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7704079486574,-34.5368955919616]}",0101000020E6100000EC0748BA9C624DC0B46BA8FEB84441C0
27358586,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,JOSECPAZ                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.7658602875347,-34.5410321206538]}",0101000020E61000001C22BCB507624DC09A25608A404541C0
28033013,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MALVINASARGENTINAS                                                                                                                           ,"{""type"":""Point"",""coordinates"":[-58.748315550128,-34.4760703801253]}",0101000020E6100000AA71CFCDC85F4DC0C89DCCDFEF3C41C0
28085016,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,MALVINASARGENTINAS                                                                                                                           ,"{""type"":""Point"",""coordinates"":[-58.7477095485593,-34.4768419015836]}",0101000020E610000006FC4CF2B45F4DC00555CA27093D41C0
28214660,Piquete Suspension ST 132Kv,APSS1,S,AT Geografico,LAMATANZA                                                                                                                                    ,"{""type"":""Point"",""coordinates"":[-58.6306719500986,-34.7825143367787]}",0101000020E6100000C816C4DBB9504DC0D48E066E296441C0
