id,descripcion,tipo,clasificacion,tipo_red,jurisdiccion,geojson,geom
18617978,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6717819171932,-34.5942747686922]}",0101000020E6100000D0312AF3FC554DC0782F1432114C41C0
18641355,Entrada AT,TEAT,S,AT Geografico,CABA,"{""type"":""Point"",""coordinates"":[-58.4048802242302,-34.5880879168474]}",0101000020E6100000D5EE7C1DD3334DC028040177464B41C0
18617979,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6717098397163,-34.5943297861387]}",0101000020E6100000D5FD8896FA554DC0944099FF124C41C0
18617980,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6716377621555,-34.5943848035402]}",0101000020E6100000B59BE739F8554DC0E0381ECD144C41C0
18617981,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6715688879423,-34.5944373756789]}",0101000020E6100000905C25F8F5554DC0CC072086164C41C0
18617982,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6714936067383,-34.5944948382071]}",0101000020E6100000FD34A480F3554DC0BDDE2768184C41C0
18617983,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6714215288819,-34.5945498554726]}",0101000020E61000006B300224F1554DC0538CAC351A4C41C0
18617984,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6713494509307,-34.5946048726929]}",0101000020E6100000AFF75FC7EE554DC0092131031C4C41C0
18617985,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6712773728955,-34.594659889868]}",0101000020E6100000CA90BD6AEC554DC0EB9CB5D01D4C41C0
18617986,Entrada AT,TEAT,S,AT Geografico,HURLINGHAM                                                                                                                                                     ,"{""type"":""Point"",""coordinates"":[-58.6712067135323,-34.5946537242686]}",0101000020E610000005BD011AEA554DC0D716FD9C1D4C41C0
